PeakID (cmd=annotatePeaks.pl /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Elba3_ChIPnexus/Elba3_ChIPnexus_q10_narrowPeak.bed dm3 -genomeOntology /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Elba3_ChIPnexus/ -annStats /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Elba3_ChIPnexus/Elba3_ChIPnexus_q10_narrowPeak_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Elba3_ChIPnexus_peak_4627	chr2R	14864961	14865279	+	727	NA	TTS (NM_137544)	TTS (NM_137544)	101	NM_001202045	37189	Dm.15890	NM_001202045		CG18605	Dmel\CG18605	uncharacterized protein	protein-coding
Elba3_ChIPnexus_peak_4421	chr2R	13356621	13356887	+	720	NA	promoter-TSS (NM_137371)	promoter-TSS (NM_137371)	-72	NM_137371	36965		NM_137371		Tes	CG6522|Dmel\CG6522|dTES	Testin	protein-coding
Elba3_ChIPnexus_peak_10663a	chr3R	16898796	16899199	+	693	NA	promoter-TSS (NM_079704)	promoter-TSS (NM_079704)	44	NM_079703	42493	Dm.1654	NM_079703		r-l	CG3593|Dmel\CG3593|OMPDC|OPRT|UMPS|ral	rudimentary-like	protein-coding
Elba3_ChIPnexus_peak_14539	chrX	21834854	21835025	+	680	NA	Intergenic	(CTATT)n|Simple_repeat|Simple_repeat	-11124	NM_001298593	33128	Dm.17217	NM_134614		CG14621	Dmel\CG14621|Slc35e1|lincRNA.1043	uncharacterized protein	protein-coding
Elba3_ChIPnexus_peak_6561b	chr3L	8991072	8991548	+	674	NA	promoter-TSS (NM_140022)	promoter-TSS (NM_140022)	26	NM_140022	39035	Dm.10867	NM_140022		CG5087	Dmel\CG5087|NM_140022.1	CG5087	protein-coding
Elba3_ChIPnexus_peak_14426a	chrX	19760041	19760758	+	655	NA	promoter-TSS (NM_134517)	promoter-TSS (NM_134517)	172	NM_001258842	33000	Dm.31021	NM_134516		Hers	CG11936|CG15619|CG32529|Dmel\CG32529|HERS	Histone gene-specific Epigenetic Repressor in late S phase	protein-coding
Elba3_ChIPnexus_peak_6255	chr3L	6182147	6182347	+	650	NA	promoter-TSS (NM_139779)	promoter-TSS (NM_139779)	-24	NM_057956	38718	Dm.2988	NM_057956		D19A	CG10269|Dmel\CG10269|d19a	D19A	protein-coding
Elba3_ChIPnexus_peak_13030	chrX	7056665	7056933	+	644	NA	intron (NM_132157, intron 1 of 4)	intron (NM_132157, intron 1 of 4)	-12916	NR_002102	3772297		NR_002102		CR32730	BcDNA:RE54930|Dmel\CR32730|MRE32	ncRNA	ncRNA
Elba3_ChIPnexus_peak_2233b	chr2L	18986947	18987371	+	641	NA	promoter-TSS (NM_136082)	promoter-TSS (NM_136082)	121	NM_001299150	35158	Dm.11240	NM_136081		Swip-1	CG10641|DSwip-1|Dmel\CG10641|EFhd2|efhd|efhd2	Swiprosin-1	protein-coding
Elba3_ChIPnexus_peak_13146	chrX	8008959	8009199	+	640	NA	intron (NM_001298072, intron 1 of 4)	intron (NM_001298072, intron 1 of 4)	1101	NM_080266	53581	Dm.1723	NM_080266		Gclc	2259|CG2259|DmGCLC|DmGCS|DmGCSh|Dmel\CG2259|GCL|GCLC|GCLc|GCSh|GclC|Gcs|Gcsh|gclc	Glutamate-cysteine ligase catalytic subunit	protein-coding
