PeakID (cmd=annotatePeaks.pl /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Elba1_ChIPnexus/Elba1_ChIPnexus_q5_narrowPeak.bed dm3 -genomeOntology /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Elba1_ChIPnexus/ -annStats /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Elba1_ChIPnexus/Elba1_ChIPnexus_q5_narrowPeak_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Elba1_ChIPnexus_peak_8010	chrU	7316200	7316315	+	792	NA	Intergenic	(AATAG)n|Simple_repeat|Simple_repeat	-70613	NR_026615	7354454		NR_026615		Su(Ste):CR42421	CR42421|Dmel\CR42421	ncRNA	ncRNA
Elba1_ChIPnexus_peak_1469	chr2L	19127218	19127459	+	737	NA	promoter-TSS (NM_136103)	promoter-TSS (NM_136103)	78	NM_136103	35193	Dm.4597	NM_136103		l(2)37Cd	CG10563|Cd|Dmel\CG10563	lethal (2) 37Cd	protein-coding
Elba1_ChIPnexus_peak_3201	chr2R	17181226	17181420	+	719	NA	promoter-TSS (NM_057855)	promoter-TSS (NM_057855)	50	NM_166437	37430	Dm.19973	NM_057855		RpL29	BcDNA:RH58777|CG10071|DL43|Dmel\CG10071|L29|RpL43|anon-EST:Posey204|anon-EST:Posey73	Ribosomal protein L29	protein-coding
Elba1_ChIPnexus_peak_9354b	chrX	19760174	19760467	+	714	NA	promoter-TSS (NM_134517)	promoter-TSS (NM_134517)	93	NM_001258842	33000	Dm.31021	NM_134516		Hers	CG11936|CG15619|CG32529|Dmel\CG32529|HERS	Histone gene-specific Epigenetic Repressor in late S phase	protein-coding
Elba1_ChIPnexus_peak_6899a	chr3R	16898917	16899159	+	688	NA	promoter-TSS (NM_079704)	promoter-TSS (NM_079704)	3	NM_079703	42493	Dm.1654	NM_079703		r-l	CG3593|Dmel\CG3593|OMPDC|OPRT|UMPS|ral	rudimentary-like	protein-coding
Elba1_ChIPnexus_peak_6418	chr3R	10481960	10482207	+	668	NA	promoter-TSS (NM_142122)	promoter-TSS (NM_142122)	-645	NM_142122	41776	Dm.11537	NM_142122		l(3)L1231	BEST:LD14744|CG7832|Dmel\CG7832|LD14744	lethal (3) L1231	protein-coding
Elba1_ChIPnexus_peak_1452	chr2L	18987133	18987297	+	667	NA	promoter-TSS (NM_136082)	promoter-TSS (NM_136082)	65	NM_001299150	35158	Dm.11240	NM_136081		Swip-1	CG10641|DSwip-1|Dmel\CG10641|EFhd2|efhd|efhd2	Swiprosin-1	protein-coding
Elba1_ChIPnexus_peak_4369	chr3L	11091155	11091379	+	664	NA	promoter-TSS (NM_140178)	promoter-TSS (NM_140178)	19	NM_001274769	39243	Dm.20675	NM_140177		CG6272	BcDNA:GH10915|CT19628|DM10|Dmel\CG6272	CG6272	protein-coding
Elba1_ChIPnexus_peak_4175a	chr3L	8418809	8419068	+	661	NA	exon (NM_139967, exon 1 of 6)	exon (NM_139967, exon 1 of 6)	884	NM_139967	38961	Dm.2332	NM_139967		Cbl	CBL|CG7037|CG7043|D-Cbl|D-Cbl L|D-CblL|D-cbl|D-cblL|D-cblS|DCbl|Dcbl|Dmel\CG7037|Dv-Cbl|Dv-cbl|F165|anon-WO0118547.68|cbl|d-cbl|dCbl|v-Cbl	Cbl proto-oncogene	protein-coding
Elba1_ChIPnexus_peak_9432	chrX	21834854	21835024	+	655	NA	Intergenic	(CTATT)n|Simple_repeat|Simple_repeat	-11124	NM_001298593	33128	Dm.17217	NM_134614		CG14621	Dmel\CG14621|Slc35e1|lincRNA.1043	uncharacterized protein	protein-coding
